groupId,group_size,num_items,strategy,gold_label,llama,mistral,gemma,phi
40,8,5,LMS,"['item_1', 'item_4']",['item_1'],"['item_3', 'item_4']",['item_1'],"['item_1', 'item_4']"
41,2,5,LMS,['item_4'],['item_3'],['item_4'],['item_4'],['item_4']
42,4,5,APP,"['item_1', 'item_3']",['item_3'],"['item_1', 'item_3']",['item_3'],"['item_1', 'item_3']"
43,2,5,ADD,['item_5'],['item_2'],['item_5'],['item_2'],['item_5']
44,2,5,LMS,['item_3'],['item_3'],['item_2'],['item_2'],['item_3']
45,2,5,LMS,"['item_4', 'item_5']",['item_4'],['item_4'],['item_4'],"['item_4', 'item_5']"
46,2,5,ADD,['item_4'],['item_4'],"['item_4', 'item_2']",['item_4'],['item_4']
47,2,5,ADD,['item_2'],['item_2'],"['item_2', 'item_5']",['item_2'],['item_2']
48,8,5,APP,['item_5'],['item_3'],"['item_3', 'item_4']","['item_3', 'item_5']",['item_5']
49,2,5,MPL,"['item_1', 'item_4']",['item_5'],['item_4'],['item_2'],"['item_1', 'item_4']"
50,2,5,MPL,"['item_3', 'item_5']",['item_5'],"['item_3', 'item_4']",['item_3'],"['item_3', 'item_5']"
51,4,5,ADD,['item_4'],['item_4'],"['item_2', 'item_4']",['item_2'],['item_4']
52,2,5,ADD,['item_1'],['item_2'],['item_2'],"['item_2', 'item_5']",['item_1']
53,8,5,MPL,"['item_4', 'item_5']",['item_5'],['item_4'],['item_2'],"['item_4', 'item_5']"
54,2,5,ADD,"['item_1', 'item_4']",['item_2'],"['item_2', 'item_3', 'item_4']","['item_2', 'item_4']","['item_1', 'item_4']"
55,2,5,MPL,['item_1'],['item_5'],['item_5'],['item_5'],['item_1']
56,8,5,ADD,['item_5'],['item_2'],"['item_2', 'item_5']",['item_2'],['item_5']
58,2,5,MPL,"['item_1', 'item_2']",['item_2'],['item_2'],['item_2'],"['item_1', 'item_2']"
59,4,5,APP,['item_2'],['item_1'],"['item_4', 'item_5']","['item_1', 'item_5']",['item_2']
60,4,5,ADD,['item_3'],['item_2'],"['item_2', 'item_3']",['item_2'],['item_3']
61,4,5,MPL,"['item_2', 'item_4', 'item_5']",['item_2'],"['item_4', 'item_1']",['item_2'],"['item_2', 'item_4', 'item_5']"
62,2,5,ADD,['item_3'],['item_3'],"['item_3', 'item_4']",['item_3'],['item_3']
63,4,5,APP,['item_3'],['item_1'],"['item_1', 'item_4']","['item_2', 'item_3']",['item_3']
64,2,5,ADD,['item_5'],['item_5'],"['item_4', 'item_5']",['item_5'],['item_5']
65,2,5,MPL,"['item_1', 'item_3']",['item_2'],['item_3'],['item_2'],"['item_1', 'item_3']"
67,2,5,ADD,['item_3'],['item_3'],"['item_3', 'item_2']","['item_2', 'item_3']",['item_3']
69,4,5,MPL,"['item_2', 'item_3']",['item_2'],"['item_2', 'item_3']",['item_2'],"['item_2', 'item_3']"
70,8,5,ADD,['item_3'],['item_2'],"['item_2', 'item_3']",['item_2'],['item_3']
71,4,5,ADD,"['item_1', 'item_3']",['item_2'],"['item_2', 'item_3']","['item_2', 'item_5']","['item_1', 'item_3']"
72,4,5,APP,['item_2'],['item_1'],"['item_1', 'item_3']",['item_3'],['item_2']
73,4,5,ADD,"['item_3', 'item_4']",['item_2'],"['item_3', 'item_2']",['item_2'],"['item_3', 'item_4']"
74,4,5,APP,['item_5'],['item_1'],"['item_4', 'item_5']",['item_4'],['item_5']
75,4,5,APP,['item_3'],['item_3'],"['item_3', 'item_4']",['item_3'],['item_3']
76,8,5,APP,['item_2'],['item_1'],"['item_1', 'item_4']",['item_2'],['item_2']
77,8,5,LMS,['item_5'],['item_1'],"['item_3', 'item_5']",['item_3'],['item_5']
78,4,5,LMS,['item_1'],['item_1'],"['item_1', 'item_3']","['item_1', 'item_2']",['item_1']
79,8,5,APP,['item_3'],['item_3'],"['item_3', 'item_5']",['item_3'],['item_3']
80,4,5,ADD,['item_5'],['item_2'],"['item_2', 'item_4', 'item_5']",['item_2'],['item_5']
81,8,5,LMS,['item_3'],['item_5'],['item_5'],['item_1'],['item_3']
82,2,5,LMS,['item_2'],['item_2'],['item_2'],['item_2'],['item_2']
83,2,5,MPL,['item_1'],['item_5'],"['item_4', 'item_5']",['item_4'],['item_1']
84,2,5,ADD,['item_1'],['item_2'],"['item_2', 'item_4']",['item_2'],['item_1']
85,8,5,MPL,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']",['item_2'],"['item_3', 'item_5']",['item_2'],"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']"
86,8,5,MPL,"['item_1', 'item_2', 'item_3', 'item_5']",['item_5'],['item_2'],['item_2'],"['item_1', 'item_2', 'item_3', 'item_5']"
87,2,5,LMS,['item_5'],['item_3'],"['item_3', 'item_5']",['item_3'],['item_5']
88,4,5,APP,['item_3'],['item_1'],"['item_4', 'item_2']","['item_2', 'item_4']",['item_3']
89,8,5,MPL,"['item_1', 'item_3']",['item_3'],['item_3'],['item_3'],"['item_1', 'item_3']"
90,4,5,LMS,['item_5'],['item_1'],"['item_3', 'item_4']","['item_1', 'item_4']",['item_5']
91,4,5,ADD,['item_1'],['item_2'],"['item_2', 'item_5']",['item_2'],['item_1']
93,2,5,ADD,['item_4'],['item_4'],['item_4'],['item_4'],['item_4']
94,4,5,ADD,['item_1'],['item_2'],"['item_2', 'item_3', 'item_5']",['item_2'],['item_1']
95,8,5,ADD,['item_3'],['item_3'],"['item_3', 'item_2']",['item_2'],['item_3']
96,2,5,LMS,['item_4'],['item_4'],['item_4'],['item_4'],['item_4']
97,4,5,ADD,['item_4'],['item_2'],"['item_4', 'item_2']","['item_2', 'item_4']",['item_4']
98,4,5,ADD,['item_3'],['item_3'],"['item_3', 'item_5']",['item_2'],['item_3']
99,4,5,APP,['item_3'],['item_1'],"['item_1', 'item_3']","['item_2', 'item_3']",['item_3']
100,4,5,MPL,"['item_3', 'item_4', 'item_5']",['item_5'],"['item_3', 'item_4']",['item_3'],"['item_3', 'item_4', 'item_5']"
101,2,5,APP,"['item_1', 'item_2', 'item_3', 'item_5']",['item_3'],"['item_1', 'item_3']",['item_3'],"['item_1', 'item_2', 'item_3', 'item_5']"
102,8,5,ADD,"['item_1', 'item_3']",['item_2'],"['item_3', 'item_5']",['item_2'],"['item_1', 'item_3']"
103,4,5,APP,"['item_3', 'item_4', 'item_5']",['item_4'],"['item_3', 'item_4']",['item_3'],"['item_3', 'item_4', 'item_5']"
104,4,5,MPL,['item_5'],['item_5'],['item_2'],"['item_2', 'item_4', 'item_5']",['item_5']
105,2,5,LMS,['item_4'],['item_4'],"['item_4', 'item_3']",['item_4'],['item_4']
106,8,5,ADD,['item_5'],['item_3'],"['item_3', 'item_5']",['item_2'],['item_5']
107,4,5,APP,['item_4'],"['item_1', 'item_3']","['item_4', 'item_5']",['item_4'],['item_4']
108,4,5,ADD,['item_1'],['item_5'],"['item_4', 'item_1']","['item_2', 'item_4']",['item_1']
109,8,5,MPL,"['item_1', 'item_3', 'item_5']",['item_3'],['item_3'],['item_3'],"['item_1', 'item_3', 'item_5']"
110,8,5,MPL,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']",['item_2'],"['item_10', 'item_9']",['item_2'],"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']"
111,2,5,MPL,['item_1'],['item_2'],"['item_2', 'item_5']",['item_2'],['item_1']
112,4,5,APP,"['item_1', 'item_4']",['item_4'],['item_4'],['item_4'],"['item_1', 'item_4']"
113,2,5,ADD,['item_3'],['item_3'],"['item_3', 'item_4']",['item_3'],['item_3']
114,2,5,ADD,['item_4'],['item_4'],"['item_4', 'item_5']","['item_2', 'item_3']",['item_4']
115,8,5,ADD,['item_2'],['item_2'],"['item_2', 'item_3']",['item_2'],['item_2']
116,4,5,ADD,['item_5'],['item_5'],"['item_4', 'item_5']",['item_5'],['item_5']
117,4,5,ADD,['item_2'],['item_2'],"['item_2', 'item_5']","['item_2', 'item_5']",['item_2']
118,2,5,ADD,"['item_3', 'item_4']",['item_3'],"['item_4', 'item_5']",['item_4'],"['item_3', 'item_4']"
120,2,5,LMS,['item_2'],['item_2'],"['item_1', 'item_2']",['item_2'],['item_2']
121,8,5,LMS,['item_4'],['item_3'],"['item_3', 'item_4']",['item_3'],['item_4']
122,8,5,MPL,['item_5'],['item_2'],"['item_2', 'item_3', 'item_4', 'item_5']",['item_2'],['item_5']
123,4,5,LMS,['item_3'],['item_3'],['item_3'],['item_3'],['item_3']
124,4,5,LMS,['item_4'],['item_1'],['item_3'],"['item_3', 'item_2']",['item_4']
125,4,5,LMS,"['item_1', 'item_2', 'item_3', 'item_4']",['item_4'],"['item_4', 'item_5']",['item_1'],"['item_1', 'item_2', 'item_3', 'item_4']"
126,4,5,APP,"['item_2', 'item_4']",['item_4'],"['item_4', 'item_1']",['item_4'],"['item_2', 'item_4']"
127,2,5,ADD,['item_5'],['item_2'],['item_5'],['item_2'],['item_5']
128,2,5,LMS,['item_1'],['item_5'],"['item_3', 'item_4', 'item_5']",['item_5'],['item_1']
129,4,5,LMS,['item_4'],['item_4'],['item_4'],['item_4'],['item_4']
130,8,5,ADD,['item_1'],['item_5'],['item_5'],"['item_2', 'item_5']",['item_1']
131,2,5,ADD,['item_3'],['item_3'],"['item_3', 'item_4']",['item_3'],['item_3']
132,8,5,APP,"['item_2', 'item_4']",['item_2'],"['item_3', 'item_5']","['item_2', 'item_3']","['item_2', 'item_4']"
133,4,5,MPL,['item_2'],['item_2'],['item_2'],['item_2'],['item_2']
134,2,5,MPL,"['item_3', 'item_4']",['item_3'],['item_2'],['item_2'],"['item_3', 'item_4']"
135,8,5,ADD,['item_3'],['item_2'],"['item_2', 'item_3']",['item_2'],['item_3']
136,4,5,ADD,['item_5'],['item_2'],['item_5'],['item_2'],['item_5']
137,2,5,MPL,"['item_1', 'item_4', 'item_5']",['item_5'],['item_4'],['item_2'],"['item_1', 'item_4', 'item_5']"
138,8,5,ADD,['item_1'],['item_2'],"['item_4', 'item_5']",['item_2'],['item_1']
140,4,5,ADD,['item_5'],['item_2'],['item_5'],"['item_2', 'item_5']",['item_5']
141,4,5,APP,['item_4'],['item_1'],['item_4'],['item_4'],['item_4']
142,2,5,MPL,['item_3'],['item_3'],['item_2'],['item_3'],['item_3']
143,8,5,APP,['item_1'],['item_1'],"['item_1', 'item_5']",['item_1'],['item_1']
144,2,5,ADD,"['item_2', 'item_5']",['item_2'],['item_2'],['item_2'],"['item_2', 'item_5']"
145,4,5,MPL,"['item_2', 'item_5']",['item_2'],['item_2'],['item_2'],"['item_2', 'item_5']"
146,4,5,ADD,"['item_1', 'item_3']",['item_2'],"['item_2', 'item_3', 'item_4', 'item_5']",['item_2'],"['item_1', 'item_3']"
147,4,5,APP,"['item_3', 'item_4']",['item_4'],"['item_4', 'item_3']",['item_4'],"['item_3', 'item_4']"
148,8,5,ADD,['item_1'],['item_1'],"['item_2', 'item_5']","['item_2', 'item_5']",['item_1']
149,4,5,MPL,"['item_3', 'item_4', 'item_5']",['item_3'],"['item_3', 'item_5']",['item_3'],"['item_3', 'item_4', 'item_5']"
150,2,5,LMS,['item_4'],['item_4'],['item_4'],['item_4'],['item_4']
151,4,5,ADD,['item_5'],['item_2'],"['item_2', 'item_3']","['item_2', 'item_5']",['item_5']
152,2,5,LMS,['item_4'],['item_4'],['item_2'],['item_2'],['item_4']
153,8,5,MPL,"['item_2', 'item_5']",['item_2'],['item_5'],['item_2'],"['item_2', 'item_5']"
154,2,5,ADD,['item_5'],['item_2'],"['item_4', 'item_5']",['item_4'],['item_5']
155,2,5,ADD,['item_5'],['item_5'],"['item_4', 'item_5']","['item_4', 'item_5']",['item_5']
156,8,5,APP,['item_2'],['item_1'],"['item_1', 'item_2']","['item_1', 'item_2']",['item_2']
157,4,5,ADD,['item_1'],['item_2'],"['item_2', 'item_5']",['item_2'],['item_1']
158,4,5,APP,['item_2'],['item_1'],"['item_1', 'item_2', 'item_4']",['item_2'],['item_2']
160,8,5,APP,"['item_1', 'item_2', 'item_5']",['item_1'],"['item_1', 'item_2', 'item_3', 'item_4']",['item_2'],"['item_1', 'item_2', 'item_5']"
161,2,5,LMS,['item_3'],['item_3'],"['item_1', 'item_3', 'item_4']",['item_3'],['item_3']
162,2,5,LMS,['item_5'],['item_3'],['item_5'],['item_1'],['item_5']
163,4,5,APP,['item_1'],"['item_1', 'item_5']","['item_1', 'item_4']","['item_1', 'item_5']",['item_1']
164,4,5,ADD,"['item_1', 'item_2']",['item_2'],"['item_2', 'item_5']",['item_2'],"['item_1', 'item_2']"
165,4,5,LMS,['item_4'],['item_2'],"['item_2', 'item_4', 'item_5']","['item_3', 'item_4']",['item_4']
166,2,5,LMS,['item_3'],['item_3'],['item_3'],['item_3'],['item_3']
167,2,5,MPL,"['item_3', 'item_4']",['item_3'],['item_5'],['item_4'],"['item_3', 'item_4']"
168,2,5,ADD,['item_5'],['item_2'],"['item_2', 'item_4']",['item_2'],['item_5']
169,8,5,MPL,"['item_2', 'item_3']",['item_2'],"['item_2', 'item_3']",['item_2'],"['item_2', 'item_3']"
170,2,5,MPL,"['item_2', 'item_3']",['item_2'],"['item_2', 'item_3']",['item_2'],"['item_2', 'item_3']"
171,4,5,LMS,"['item_2', 'item_5']",['item_3'],"['item_4', 'item_5']",['item_3'],"['item_2', 'item_5']"
172,8,5,APP,['item_4'],['item_1'],"['item_4', 'item_5']",['item_4'],['item_4']
173,2,5,MPL,['item_1'],['item_5'],"['item_2', 'item_5']",['item_2'],['item_1']
174,2,5,MPL,"['item_3', 'item_5']",['item_2'],['item_2'],['item_2'],"['item_3', 'item_5']"
175,2,5,ADD,['item_3'],['item_3'],"['item_2', 'item_3']",['item_5'],['item_3']
176,8,5,APP,['item_4'],['item_1'],"['item_4', 'item_5']","['item_2', 'item_4']",['item_4']
177,8,5,MPL,['item_3'],['item_4'],['item_3'],['item_2'],['item_3']
178,4,5,APP,"['item_1', 'item_5']","['item_1', 'item_5']","['item_4', 'item_5']",['item_2'],"['item_1', 'item_5']"
179,8,5,MPL,"['item_2', 'item_3', 'item_4']",['item_4'],['item_4'],['item_4'],"['item_2', 'item_3', 'item_4']"
180,4,5,ADD,['item_2'],['item_2'],"['item_2', 'item_4']","['item_2', 'item_4']",['item_2']
181,4,5,LMS,['item_3'],['item_3'],['item_3'],['item_3'],['item_3']
182,8,5,LMS,"['item_1', 'item_4']",['item_1'],"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']",['item_1'],"['item_1', 'item_4']"
184,2,5,APP,"['item_3', 'item_4', 'item_5']",['item_4'],['item_4'],['item_4'],"['item_3', 'item_4', 'item_5']"
185,4,5,LMS,['item_1'],['item_1'],"['item_4', 'item_5']",['item_3'],['item_1']
186,4,5,LMS,['item_5'],['item_5'],"['item_3', 'item_5']",['item_3'],['item_5']
187,4,5,ADD,['item_5'],['item_5'],['item_5'],"['item_2', 'item_5']",['item_5']
188,4,5,MPL,"['item_3', 'item_5']",['item_3'],['item_3'],['item_3'],"['item_3', 'item_5']"
189,2,5,APP,"['item_3', 'item_4']",['item_4'],"['item_3', 'item_4']","['item_3', 'item_4']","['item_3', 'item_4']"
190,8,5,APP,['item_2'],['item_3'],"['item_1', 'item_4']","['item_2', 'item_4']","['item_2', 'item_4']"
191,4,5,MPL,['item_5'],['item_5'],['item_5'],['item_2'],['item_5']
192,2,5,APP,"['item_4', 'item_5']",['item_3'],"['item_3', 'item_4']","['item_3', 'item_4']","['item_4', 'item_5']"
193,4,5,LMS,"['item_1', 'item_4', 'item_5']",['item_3'],"['item_1', 'item_4']",['item_3'],"['item_1', 'item_4', 'item_5']"
194,2,5,ADD,['item_5'],['item_2'],"['item_2', 'item_3', 'item_5']",['item_5'],['item_5']
197,2,5,MPL,"['item_1', 'item_5']",['item_5'],"['item_2', 'item_5']",['item_5'],"['item_1', 'item_5']"
198,2,5,ADD,['item_4'],['item_4'],"['item_2', 'item_4']",['item_4'],['item_4']
199,4,5,ADD,"['item_3', 'item_5']",['item_5'],"['item_5', 'item_4']",['item_2'],"['item_3', 'item_5']"
200,8,5,LMS,"['item_2', 'item_3']",['item_3'],"['item_3', 'item_4', 'item_5']",['item_1'],"['item_2', 'item_3']"
201,8,5,ADD,['item_5'],['item_2'],"['item_2', 'item_4']","['item_2', 'item_4', 'item_5']",['item_5']
202,8,5,ADD,['item_2'],['item_2'],"['item_2', 'item_3', 'item_5']","['item_2', 'item_5']",['item_2']
203,2,5,ADD,['item_3'],"['item_2', 'item_3']","['item_3', 'item_2']","['item_2', 'item_3']",['item_3']
204,2,5,ADD,['item_5'],['item_2'],"['item_3', 'item_5']",['item_4'],['item_5']
205,2,5,MPL,"['item_1', 'item_4']",['item_2'],['item_4'],['item_2'],"['item_1', 'item_4']"
206,2,5,MPL,"['item_2', 'item_3', 'item_5']",['item_3'],"['item_2', 'item_3']",['item_2'],"['item_2', 'item_3', 'item_5']"
207,2,5,APP,['item_1'],['item_1'],"['item_1', 'item_4']","['item_4', 'item_1']",['item_1']
208,8,5,MPL,"['item_2', 'item_3', 'item_4', 'item_5']",['item_4'],"['item_4', 'item_2']",['item_2'],"['item_2', 'item_3', 'item_4', 'item_5']"
209,4,5,APP,['item_1'],['item_1'],"['item_1', 'item_3']",['item_3'],['item_1']
210,8,5,ADD,['item_2'],['item_2'],"['item_2', 'item_4', 'item_5']","['item_2', 'item_4']",['item_2']
211,4,5,ADD,['item_5'],['item_2'],['item_5'],['item_2'],['item_5']
212,2,5,MPL,['item_3'],['item_2'],"['item_3', 'item_5']",['item_2'],['item_3']
213,4,5,APP,"['item_3', 'item_5']",['item_3'],"['item_3', 'item_5']",['item_3'],"['item_3', 'item_5']"
214,2,5,APP,['item_2'],['item_2'],"['item_1', 'item_2']",['item_2'],['item_2']
215,8,5,MPL,"['item_2', 'item_3', 'item_4']",['item_2'],"['item_4', 'item_2']",['item_2'],"['item_2', 'item_3', 'item_4']"
217,8,5,APP,['item_2'],['item_1'],"['item_1', 'item_2', 'item_4']","['item_2', 'item_1']","['item_1', 'item_2']"
218,8,5,APP,['item_1'],['item_1'],"['item_3', 'item_4']",['item_3'],['item_1']
219,8,5,ADD,['item_1'],['item_2'],"['item_2', 'item_4']",['item_2'],['item_1']
220,4,5,ADD,['item_3'],['item_3'],"['item_3', 'item_4', 'item_5']","['item_2', 'item_3']",['item_3']
221,4,5,APP,['item_1'],['item_1'],"['item_4', 'item_3']","['item_1', 'item_5']",['item_1']
222,4,5,ADD,['item_4'],['item_2'],"['item_4', 'item_2']",['item_2'],['item_4']
224,4,5,LMS,['item_5'],['item_5'],"['item_4', 'item_5']",['item_4'],['item_5']
225,4,5,LMS,['item_2'],['item_1'],['item_5'],"['item_2', 'item_3']",['item_2']
227,8,5,APP,['item_3'],['item_3'],"['item_3', 'item_4']","['item_2', 'item_4']",['item_3']
228,2,5,APP,['item_3'],['item_3'],"['item_3', 'item_5']",['item_3'],['item_3']
229,8,5,MPL,"['item_2', 'item_4', 'item_5']",['item_2'],"['item_4', 'item_2']",['item_2'],"['item_2', 'item_4', 'item_5']"
230,2,5,MPL,['item_4'],['item_4'],['item_4'],['item_4'],['item_4']
231,4,5,APP,"['item_1', 'item_3']",['item_3'],"['item_3', 'item_5']",['item_3'],"['item_1', 'item_3']"
232,8,5,MPL,['item_1'],['item_3'],"['item_9', 'item_3']",['item_3'],['item_1']
233,2,5,MPL,['item_4'],['item_2'],['item_4'],['item_4'],['item_4']
234,4,5,LMS,['item_1'],['item_1'],"['item_2', 'item_4']",['item_2'],['item_1']
235,8,5,APP,['item_3'],['item_1'],"['item_3', 'item_5']",['item_3'],['item_3']
238,2,5,ADD,['item_3'],['item_3'],"['item_3', 'item_2']","['item_2', 'item_3']",['item_3']
239,4,5,LMS,['item_1'],['item_1'],"['item_4', 'item_3']",['item_4'],['item_1']
240,8,5,APP,['item_2'],"['item_1', 'item_3']","['item_1', 'item_3']","['item_2', 'item_3']",['item_2']
241,2,5,LMS,['item_4'],['item_4'],['item_4'],['item_4'],['item_4']
242,2,5,APP,"['item_2', 'item_3', 'item_4']",['item_4'],"['item_2', 'item_4']","['item_2', 'item_4']","['item_2', 'item_3', 'item_4']"
243,4,5,MPL,['item_4'],['item_4'],['item_4'],['item_4'],['item_4']
244,8,5,LMS,['item_5'],['item_2'],"['item_3', 'item_5']",['item_1'],['item_5']
245,4,5,ADD,['item_4'],['item_2'],"['item_4', 'item_2']","['item_2', 'item_4']",['item_4']
246,8,5,MPL,"['item_1', 'item_2', 'item_3']",['item_3'],"['item_2', 'item_3', 'item_4', 'item_5']",['item_2'],"['item_1', 'item_2', 'item_3']"
247,2,5,MPL,['item_2'],['item_2'],['item_2'],['item_2'],['item_2']
248,2,5,MPL,['item_4'],['item_2'],['item_4'],['item_4'],['item_4']
249,2,5,ADD,"['item_2', 'item_4']",['item_2'],"['item_3', 'item_2']","['item_2', 'item_3']","['item_2', 'item_4']"
250,4,5,ADD,['item_5'],['item_4'],"['item_4', 'item_5']",['item_4'],['item_5']
251,4,10,LMS,['item_6'],['item_10'],"['item_6', 'item_9']","['item_6', 'item_4']",['item_6']
252,4,10,ADD,"['item_4', 'item_9']",['item_2'],"['item_5', 'item_9']",['item_2'],"['item_4', 'item_9']"
253,8,10,APP,"['item_3', 'item_9']","['item_1', 'item_2']","['item_5', 'item_7']","['item_7', 'item_2']","['item_3', 'item_9']"
254,8,10,ADD,['item_8'],"['item_8', 'item_7']","['item_7', 'item_8']",['item_2'],['item_8']
255,2,10,ADD,['item_5'],"['item_2', 'item_5']","['item_5', 'item_8']","['item_2', 'item_5']",['item_5']
256,4,10,ADD,['item_2'],['item_2'],"['item_8', 'item_5']","['item_2', 'item_8']",['item_2']
257,4,10,LMS,"['item_4', 'item_5']",['item_4'],"['item_7', 'item_8', 'item_9']","['item_7', 'item_4']","['item_4', 'item_5']"
258,4,10,ADD,['item_8'],['item_8'],"['item_8', 'item_9', 'item_10']","['item_2', 'item_8']",['item_8']
259,8,10,ADD,['item_1'],"['item_2', 'item_10']","['item_2', 'item_6']",['item_2'],['item_1']
260,8,10,APP,"['item_5', 'item_7']","['item_7', 'item_10']","['item_1', 'item_7']","['item_2', 'item_7']","['item_5', 'item_7']"
261,2,10,MPL,['item_5'],['item_5'],"['item_5', 'item_6']",['item_5'],['item_5']
262,8,10,APP,['item_8'],"['item_1', 'item_8']","['item_1', 'item_8']","['item_1', 'item_8']",['item_8']
263,4,10,ADD,['item_8'],['item_8'],"['item_8', 'item_9']","['item_2', 'item_8']",['item_8']
264,4,10,APP,['item_8'],['item_6'],"['item_6', 'item_7', 'item_8', 'item_10']",['item_8'],['item_8']
265,4,10,MPL,"['item_1', 'item_2', 'item_3', 'item_5', 'item_6', 'item_9']",['item_6'],"['item_6', 'item_7', 'item_9']",['item_2'],"['item_1', 'item_2', 'item_3', 'item_5', 'item_6', 'item_9']"
266,2,10,LMS,['item_10'],['item_7'],"['item_4', 'item_7', 'item_9']","['item_4', 'item_10']",['item_10']
267,4,10,ADD,['item_3'],['item_3'],"['item_3', 'item_4', 'item_5', 'item_6', 'item_9', 'item_10']","['item_2', 'item_3', 'item_8']",['item_3']
268,8,10,APP,['item_3'],"['item_1', 'item_2']","['item_1', 'item_3', 'item_7', 'item_8', 'item_9']","['item_3', 'item_7']",['item_3']
269,8,10,ADD,['item_7'],['item_8'],"['item_7', 'item_9']","['item_2', 'item_7', 'item_4']",['item_7']
270,2,10,MPL,"['item_2', 'item_8']",['item_2'],"['item_8', 'item_10']",['item_2'],"['item_2', 'item_8']"
