groupId,strategy,group_size,item_size,llm_recommendation,gold_recommendation
19,APP,4,5,"['item_1', 'item_2', 'item_3', 'item_4']","['item_4', 'item_2', 'item_3', 'item_1']"
19,LMS,4,5,"['item_1', 'item_2', 'item_3', 'item_4']","['item_4', 'item_3', 'item_1', 'item_2', 'item_5']"
19,MPL,4,5,['item_4'],"['item_3', 'item_4', 'item_1', 'item_2', 'item_5']"
20,ADD,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_1', 'item_2', 'item_5', 'item_3', 'item_4']"
20,APP,8,5,"['item_1', 'item_2']","['item_1', 'item_2', 'item_3', 'item_4', 'item_5']"
20,LMS,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_2', 'item_5', 'item_1', 'item_3', 'item_4']"
20,MPL,8,5,['item_4'],"['item_1', 'item_5', 'item_3', 'item_4', 'item_2']"
21,ADD,4,5,['item_4'],"['item_5', 'item_1', 'item_4', 'item_3', 'item_2']"
21,APP,4,5,"['item_1', 'item_3']","['item_5', 'item_1', 'item_3', 'item_4']"
21,LMS,4,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_1', 'item_5', 'item_3', 'item_2', 'item_4']"
21,MPL,4,5,['item_4'],"['item_4', 'item_5', 'item_1', 'item_3', 'item_2']"
22,ADD,2,5,['item_4'],"['item_4', 'item_3', 'item_1', 'item_2', 'item_5']"
22,APP,2,5,['item_1'],"['item_4', 'item_1', 'item_3']"
22,LMS,2,5,['item_4'],"['item_4', 'item_3', 'item_2', 'item_1', 'item_5']"
22,MPL,2,5,['item_4'],"['item_4', 'item_1', 'item_3', 'item_5', 'item_2']"
23,ADD,2,5,['item_2'],"['item_4', 'item_1', 'item_2', 'item_5', 'item_3']"
23,APP,2,5,['item_1'],['item_1']
23,LMS,2,5,['item_4'],"['item_4', 'item_1', 'item_2', 'item_3', 'item_5']"
23,MPL,2,5,['item_4'],"['item_1', 'item_4', 'item_2', 'item_5', 'item_3']"
24,ADD,4,5,['item_2'],"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']"
24,APP,4,5,"['item_1', 'item_2']","['item_1', 'item_2', 'item_3', 'item_5']"
24,LMS,4,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_1', 'item_2', 'item_3', 'item_4', 'item_5']"
24,MPL,4,5,['item_2'],"['item_1', 'item_2', 'item_3', 'item_5', 'item_4']"
25,ADD,2,5,['item_2'],"['item_2', 'item_1', 'item_5', 'item_3', 'item_4']"
25,APP,2,5,"['item_1', 'item_2']","['item_2', 'item_1', 'item_3', 'item_5']"
25,LMS,2,5,['item_2'],"['item_2', 'item_1', 'item_5', 'item_3', 'item_4']"
25,MPL,2,5,['item_2'],"['item_1', 'item_2', 'item_3', 'item_5', 'item_4']"
26,ADD,8,5,['item_2'],"['item_2', 'item_5', 'item_1', 'item_3', 'item_4']"
26,APP,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_2', 'item_5', 'item_1', 'item_3', 'item_4']"
26,LMS,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_2', 'item_1', 'item_3', 'item_4', 'item_5']"
26,MPL,8,5,['item_2'],"['item_2', 'item_5', 'item_3', 'item_4', 'item_1']"
27,ADD,2,5,['item_2'],"['item_3', 'item_5', 'item_1', 'item_2', 'item_4']"
27,APP,2,5,['item_1'],"['item_1', 'item_3', 'item_5']"
27,LMS,2,5,"['item_1', 'item_2']","['item_3', 'item_5', 'item_2', 'item_1', 'item_4']"
27,MPL,2,5,['item_5'],"['item_3', 'item_5', 'item_1', 'item_4', 'item_2']"
28,ADD,4,5,"['item_2', 'item_3']","['item_3', 'item_4', 'item_5', 'item_1', 'item_2']"
28,APP,4,5,"['item_1', 'item_2']","['item_3', 'item_4', 'item_5', 'item_1']"
28,LMS,4,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_4', 'item_3', 'item_1', 'item_2', 'item_5']"
28,MPL,4,5,['item_3'],"['item_1', 'item_3', 'item_4', 'item_5', 'item_2']"
29,ADD,2,5,['item_2'],"['item_3', 'item_2', 'item_1', 'item_4', 'item_5']"
29,APP,2,5,['item_1'],"['item_1', 'item_2', 'item_3', 'item_4']"
29,LMS,2,5,"['item_1', 'item_2']","['item_2', 'item_5', 'item_3', 'item_1', 'item_4']"
29,MPL,2,5,['item_2'],"['item_3', 'item_1', 'item_2', 'item_4', 'item_5']"
30,ADD,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_1', 'item_5', 'item_4', 'item_2', 'item_3']"
30,APP,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_1', 'item_5', 'item_4', 'item_3', 'item_2']"
30,LMS,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_2', 'item_5', 'item_4', 'item_1', 'item_3']"
30,MPL,8,5,['item_5'],"['item_1', 'item_2', 'item_4', 'item_5', 'item_3']"
31,ADD,2,5,['item_2'],"['item_3', 'item_2', 'item_4', 'item_5', 'item_1']"
31,APP,2,5,"['item_1', 'item_2']",['item_3']
31,LMS,2,5,"['item_1', 'item_2']","['item_3', 'item_2', 'item_4', 'item_5', 'item_1']"
31,MPL,2,5,['item_3'],"['item_3', 'item_1', 'item_2', 'item_5', 'item_4']"
32,ADD,2,5,['item_2'],"['item_1', 'item_2', 'item_3', 'item_5', 'item_4']"
32,APP,2,5,['item_1'],"['item_1', 'item_2', 'item_3', 'item_4']"
32,LMS,2,5,"['item_1', 'item_2']","['item_1', 'item_2', 'item_3', 'item_5', 'item_4']"
32,MPL,2,5,['item_2'],"['item_2', 'item_1', 'item_3', 'item_4', 'item_5']"
33,ADD,4,5,['item_4'],"['item_1', 'item_4', 'item_5', 'item_3', 'item_2']"
33,APP,4,5,"['item_1', 'item_4']","['item_1', 'item_3', 'item_4', 'item_5']"
33,LMS,4,5,"['item_1', 'item_2', 'item_4']","['item_1', 'item_4', 'item_5', 'item_3', 'item_2']"
33,MPL,4,5,['item_5'],"['item_1', 'item_5', 'item_4', 'item_3', 'item_2']"
34,ADD,8,5,"['item_2', 'item_4']","['item_4', 'item_2', 'item_1', 'item_3', 'item_5']"
34,APP,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_4', 'item_1', 'item_2', 'item_3', 'item_5']"
34,LMS,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_5', 'item_1', 'item_2', 'item_3', 'item_4']"
34,MPL,8,5,['item_2'],"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']"
35,ADD,8,5,"['item_2', 'item_3']","['item_5', 'item_4', 'item_3', 'item_1', 'item_2']"
35,APP,8,5,"['item_1', 'item_2']","['item_3', 'item_5', 'item_4', 'item_1', 'item_2']"
35,LMS,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_5', 'item_1', 'item_2', 'item_3', 'item_4']"
35,MPL,8,5,['item_5'],"['item_1', 'item_2', 'item_4', 'item_5', 'item_3']"
36,ADD,8,5,['item_2'],"['item_3', 'item_2', 'item_5', 'item_1', 'item_4']"
36,APP,8,5,"['item_1', 'item_2']","['item_2', 'item_3', 'item_5', 'item_1', 'item_4']"
36,LMS,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_3', 'item_1', 'item_2', 'item_4', 'item_5']"
36,MPL,8,5,['item_3'],"['item_1', 'item_2', 'item_3', 'item_5', 'item_4']"
37,ADD,8,5,"['item_2', 'item_3', 'item_4', 'item_5']","['item_4', 'item_5', 'item_1', 'item_2', 'item_3']"
37,APP,8,5,"['item_3', 'item_4']","['item_5', 'item_4', 'item_1', 'item_3', 'item_2']"
37,LMS,8,5,"['item_2', 'item_3', 'item_4', 'item_5']","['item_2', 'item_4', 'item_1', 'item_3', 'item_5']"
37,MPL,8,5,['item_2'],"['item_1', 'item_5', 'item_4', 'item_3', 'item_2']"
38,ADD,2,5,['item_4'],"['item_1', 'item_4', 'item_5', 'item_3', 'item_2']"
38,APP,2,5,['item_1'],"['item_1', 'item_4', 'item_5']"
38,LMS,2,5,"['item_1', 'item_2']","['item_1', 'item_4', 'item_5', 'item_3', 'item_2']"
38,MPL,2,5,['item_4'],"['item_4', 'item_1', 'item_5', 'item_3', 'item_2']"
39,ADD,8,5,['item_4'],"['item_4', 'item_3', 'item_1', 'item_5', 'item_2']"
39,APP,8,5,"['item_1', 'item_2', 'item_3', 'item_4']","['item_4', 'item_1', 'item_3', 'item_2']"
39,LMS,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_3', 'item_1', 'item_4', 'item_5', 'item_2']"
39,MPL,8,5,['item_2'],"['item_3', 'item_4', 'item_1', 'item_2', 'item_5']"
40,ADD,8,5,"['item_4', 'item_5']","['item_1', 'item_4', 'item_2', 'item_5', 'item_3']"
40,APP,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_1', 'item_4', 'item_2', 'item_5', 'item_3']"
40,LMS,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_1', 'item_4', 'item_2', 'item_3', 'item_5']"
40,MPL,8,5,['item_4'],"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']"
41,ADD,2,5,['item_4'],"['item_4', 'item_3', 'item_1', 'item_2', 'item_5']"
41,APP,2,5,"['item_1', 'item_2']","['item_4', 'item_3']"
41,LMS,2,5,['item_4'],"['item_4', 'item_1', 'item_2', 'item_3', 'item_5']"
41,MPL,2,5,['item_4'],"['item_3', 'item_4', 'item_1', 'item_2', 'item_5']"
42,ADD,4,5,['item_3'],"['item_1', 'item_3', 'item_5', 'item_4', 'item_2']"
42,APP,4,5,"['item_1', 'item_3']","['item_1', 'item_3', 'item_5', 'item_2', 'item_4']"
42,LMS,4,5,"['item_1', 'item_3', 'item_4', 'item_5']","['item_1', 'item_3', 'item_4', 'item_2', 'item_5']"
42,MPL,4,5,['item_3'],"['item_3', 'item_5', 'item_1', 'item_4', 'item_2']"
43,ADD,2,5,['item_5'],"['item_5', 'item_1', 'item_2', 'item_3', 'item_4']"
43,APP,2,5,"['item_1', 'item_2']","['item_1', 'item_2', 'item_3', 'item_4', 'item_5']"
43,LMS,2,5,['item_2'],"['item_5', 'item_2', 'item_1', 'item_3', 'item_4']"
43,MPL,2,5,['item_5'],"['item_1', 'item_5', 'item_4', 'item_3', 'item_2']"
44,ADD,2,5,['item_2'],"['item_3', 'item_2', 'item_5', 'item_1', 'item_4']"
44,APP,2,5,"['item_1', 'item_2']","['item_2', 'item_3', 'item_5']"
44,LMS,2,5,"['item_1', 'item_2']","['item_3', 'item_1', 'item_2', 'item_4', 'item_5']"
44,MPL,2,5,['item_5'],"['item_2', 'item_5', 'item_3', 'item_4', 'item_1']"
45,ADD,2,5,"['item_4', 'item_5']","['item_4', 'item_5', 'item_3', 'item_2', 'item_1']"
45,APP,2,5,"['item_1', 'item_2']","['item_5', 'item_4', 'item_3', 'item_2']"
45,LMS,2,5,"['item_1', 'item_2']","['item_5', 'item_4', 'item_1', 'item_3', 'item_2']"
45,MPL,2,5,['item_4'],"['item_4', 'item_5', 'item_3', 'item_2', 'item_1']"
46,ADD,2,5,['item_2'],"['item_4', 'item_2', 'item_1', 'item_5', 'item_3']"
46,APP,2,5,"['item_1', 'item_2']","['item_2', 'item_4', 'item_1', 'item_5']"
46,LMS,2,5,"['item_1', 'item_2']","['item_4', 'item_2', 'item_1', 'item_3', 'item_5']"
46,MPL,2,5,['item_4'],"['item_4', 'item_1', 'item_2', 'item_5', 'item_3']"
47,ADD,2,5,['item_2'],"['item_2', 'item_1', 'item_5', 'item_3', 'item_4']"
47,APP,2,5,['item_1'],"['item_1', 'item_2']"
47,LMS,2,5,"['item_1', 'item_2']","['item_2', 'item_1', 'item_5', 'item_3', 'item_4']"
47,MPL,2,5,['item_2'],"['item_2', 'item_1', 'item_4', 'item_3', 'item_5']"
48,ADD,8,5,"['item_3', 'item_5']","['item_5', 'item_3', 'item_4', 'item_2', 'item_1']"
48,APP,8,5,"['item_3', 'item_5']","['item_5', 'item_4', 'item_3', 'item_1', 'item_2']"
48,LMS,8,5,"['item_3', 'item_5']","['item_5', 'item_4', 'item_1', 'item_3', 'item_2']"
48,MPL,8,5,['item_3'],"['item_3', 'item_5', 'item_4', 'item_1', 'item_2']"
49,ADD,2,5,['item_5'],"['item_4', 'item_1', 'item_5', 'item_2', 'item_3']"
49,APP,2,5,"['item_1', 'item_2']","['item_4', 'item_1', 'item_2', 'item_5']"
49,LMS,2,5,"['item_1', 'item_2']","['item_4', 'item_5', 'item_2', 'item_1', 'item_3']"
49,MPL,2,5,['item_5'],"['item_1', 'item_4', 'item_5', 'item_2', 'item_3']"
50,ADD,2,5,['item_5'],"['item_5', 'item_1', 'item_3', 'item_4', 'item_2']"
50,APP,2,5,"['item_1', 'item_3']","['item_1', 'item_5', 'item_3', 'item_4']"
50,LMS,2,5,"['item_1', 'item_2']","['item_5', 'item_1', 'item_3', 'item_2', 'item_4']"
50,MPL,2,5,"['item_4', 'item_5']","['item_3', 'item_5', 'item_1', 'item_4', 'item_2']"
51,ADD,4,5,['item_4'],"['item_4', 'item_5', 'item_2', 'item_1', 'item_3']"
51,APP,4,5,['item_4'],"['item_4', 'item_5', 'item_1', 'item_3', 'item_2']"
51,LMS,4,5,"['item_2', 'item_4']","['item_2', 'item_3', 'item_5', 'item_1', 'item_4']"
51,MPL,4,5,['item_4'],"['item_1', 'item_2', 'item_4', 'item_5', 'item_3']"
52,ADD,2,5,['item_2'],"['item_1', 'item_2', 'item_4', 'item_5', 'item_3']"
52,APP,2,5,['item_1'],"['item_1', 'item_2', 'item_4', 'item_5']"
52,LMS,2,5,"['item_1', 'item_2']","['item_1', 'item_2', 'item_4', 'item_3', 'item_5']"
52,MPL,2,5,['item_5'],"['item_1', 'item_2', 'item_5', 'item_4', 'item_3']"
53,ADD,8,5,"['item_2', 'item_4']","['item_5', 'item_4', 'item_1', 'item_3', 'item_2']"
53,APP,8,5,"['item_2', 'item_4']","['item_1', 'item_5', 'item_4', 'item_2', 'item_3']"
53,LMS,8,5,"['item_4', 'item_5']","['item_3', 'item_1', 'item_2', 'item_4', 'item_5']"
53,MPL,8,5,['item_4'],"['item_5', 'item_4', 'item_1', 'item_2', 'item_3']"
54,ADD,2,5,"['item_1', 'item_2']","['item_1', 'item_4', 'item_5', 'item_3', 'item_2']"
54,APP,2,5,"['item_1', 'item_2']","['item_1', 'item_2', 'item_3', 'item_4', 'item_5']"
54,LMS,2,5,"['item_1', 'item_2']","['item_4', 'item_1', 'item_2', 'item_5', 'item_3']"
54,MPL,2,5,"['item_4', 'item_5']","['item_1', 'item_3', 'item_4', 'item_5', 'item_2']"
55,ADD,2,5,['item_2'],"['item_1', 'item_3', 'item_5', 'item_2', 'item_4']"
55,APP,2,5,['item_1'],"['item_1', 'item_3', 'item_5']"
55,LMS,2,5,"['item_1', 'item_2']","['item_1', 'item_2', 'item_3', 'item_4', 'item_5']"
55,MPL,2,5,['item_5'],"['item_1', 'item_3', 'item_5', 'item_2', 'item_4']"
56,ADD,8,5,['item_2'],"['item_5', 'item_2', 'item_1', 'item_3', 'item_4']"
56,APP,8,5,"['item_2', 'item_4']","['item_5', 'item_2', 'item_1', 'item_3', 'item_4']"
56,LMS,8,5,"['item_2', 'item_4']","['item_5', 'item_1', 'item_2', 'item_3', 'item_4']"
56,MPL,8,5,['item_2'],"['item_2', 'item_5', 'item_3', 'item_4', 'item_1']"
57,ADD,2,5,['item_2'],"['item_5', 'item_2', 'item_4', 'item_1', 'item_3']"
57,APP,2,5,"['item_1', 'item_2']","['item_2', 'item_4', 'item_5']"
57,LMS,2,5,"['item_1', 'item_2']","['item_2', 'item_5', 'item_4', 'item_1', 'item_3']"
57,MPL,2,5,['item_5'],"['item_5', 'item_2', 'item_4', 'item_1', 'item_3']"
58,ADD,2,5,['item_2'],"['item_2', 'item_1', 'item_4', 'item_5', 'item_3']"
58,APP,2,5,['item_1'],"['item_1', 'item_2', 'item_4']"
58,LMS,2,5,['item_2'],"['item_2', 'item_5', 'item_3', 'item_1', 'item_4']"
58,MPL,2,5,['item_2'],"['item_1', 'item_2', 'item_4', 'item_5', 'item_3']"
59,ADD,4,5,['item_5'],"['item_5', 'item_2', 'item_4', 'item_1', 'item_3']"
59,APP,4,5,"['item_1', 'item_2']","['item_2', 'item_5', 'item_1', 'item_4']"
59,LMS,4,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_2', 'item_5', 'item_1', 'item_3', 'item_4']"
59,MPL,4,5,"['item_4', 'item_5']","['item_5', 'item_4', 'item_1', 'item_2', 'item_3']"
60,ADD,4,5,['item_2'],"['item_3', 'item_5', 'item_2', 'item_4', 'item_1']"
60,APP,4,5,"['item_1', 'item_2']","['item_5', 'item_3', 'item_2', 'item_1']"
60,LMS,4,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_5', 'item_4', 'item_3', 'item_1', 'item_2']"
60,MPL,4,5,['item_2'],"['item_2', 'item_3', 'item_5', 'item_1', 'item_4']"
61,ADD,4,5,"['item_3', 'item_4']","['item_3', 'item_4', 'item_2', 'item_1', 'item_5']"
61,APP,4,5,"['item_1', 'item_2', 'item_3']","['item_2', 'item_4', 'item_3', 'item_1', 'item_5']"
61,LMS,4,5,"['item_1', 'item_2', 'item_3', 'item_4']","['item_3', 'item_4', 'item_1', 'item_2', 'item_5']"
61,MPL,4,5,['item_4'],"['item_2', 'item_5', 'item_4', 'item_1', 'item_3']"
62,ADD,2,5,['item_2'],"['item_3', 'item_4', 'item_2', 'item_1', 'item_5']"
62,APP,2,5,"['item_1', 'item_2']","['item_3', 'item_4']"
62,LMS,2,5,['item_2'],"['item_3', 'item_2', 'item_1', 'item_4', 'item_5']"
62,MPL,2,5,['item_2'],"['item_3', 'item_4', 'item_2', 'item_1', 'item_5']"
63,ADD,4,5,['item_2'],"['item_3', 'item_5', 'item_4', 'item_2', 'item_1']"
63,APP,4,5,"['item_1', 'item_3']","['item_3', 'item_4', 'item_2', 'item_1', 'item_5']"
63,LMS,4,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_3', 'item_5', 'item_1', 'item_2', 'item_4']"
63,MPL,4,5,['item_4'],"['item_1', 'item_2', 'item_4', 'item_5', 'item_3']"
64,ADD,2,5,['item_5'],"['item_5', 'item_1', 'item_4', 'item_2', 'item_3']"
64,APP,2,5,['item_1'],"['item_1', 'item_5']"
64,LMS,2,5,"['item_1', 'item_2']","['item_1', 'item_5', 'item_4', 'item_3', 'item_2']"
64,MPL,2,5,['item_5'],"['item_5', 'item_1', 'item_2', 'item_4', 'item_3']"
65,ADD,2,5,['item_2'],"['item_3', 'item_1', 'item_2', 'item_4', 'item_5']"
65,APP,2,5,['item_1'],"['item_3', 'item_1', 'item_2']"
65,LMS,2,5,"['item_1', 'item_2']","['item_3', 'item_5', 'item_4', 'item_2', 'item_1']"
65,MPL,2,5,['item_2'],"['item_1', 'item_3', 'item_2', 'item_4', 'item_5']"
66,ADD,8,5,"['item_2', 'item_3']","['item_4', 'item_2', 'item_3', 'item_1', 'item_5']"
66,APP,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_4', 'item_3', 'item_2', 'item_1', 'item_5']"
66,LMS,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_1', 'item_5', 'item_4', 'item_3', 'item_2']"
66,MPL,8,5,['item_2'],"['item_2', 'item_4', 'item_3', 'item_1', 'item_5']"
67,ADD,2,5,['item_2'],"['item_3', 'item_1', 'item_2', 'item_4', 'item_5']"
67,APP,2,5,['item_1'],"['item_1', 'item_2', 'item_3']"
67,LMS,2,5,"['item_1', 'item_2']","['item_3', 'item_1', 'item_2', 'item_4', 'item_5']"
67,MPL,2,5,['item_2'],"['item_3', 'item_1', 'item_2', 'item_4', 'item_5']"
